"Mach","Pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.7289,7.4146e+05,1,0.074131,0.074131,0,0
0.73131,7.4034e+05,1,0.074254,0.074254,0,0
0.73371,7.3921e+05,1,0.074377,0.074377,0,0
0.73614,7.3804e+05,1,0.0745,0.0745,0,0
0.73857,7.3687e+05,1,0.074623,0.074623,0,0
0.741,7.3571e+05,1,0.074746,0.074746,0,0
0.74343,7.3454e+05,1,0.074869,0.074869,0,0
0.74587,7.3335e+05,1,0.074991,0.074991,0,0
0.74832,7.3216e+05,1,0.075114,0.075114,0,0
0.75076,7.3097e+05,1,0.075237,0.075237,0,0
0.7532,7.2978e+05,1,0.07536,0.07536,0,0
0.75566,7.2857e+05,1,0.075483,0.075483,0,0
0.75811,7.2736e+05,1,0.075606,0.075606,0,0
0.76056,7.2616e+05,1,0.075729,0.075729,0,0
0.76301,7.2494e+05,1,0.075852,0.075852,0,0
0.76548,7.2372e+05,1,0.075975,0.075975,0,0
0.76796,7.2249e+05,1,0.076098,0.076098,0,0
0.77043,7.2127e+05,1,0.076221,0.076221,0,0
0.7729,7.2004e+05,1,0.076344,0.076344,0,0
0.77539,7.1878e+05,1,0.076467,0.076467,0,0
0.77788,7.1751e+05,1,0.07659,0.07659,0,0
0.78037,7.1625e+05,1,0.076713,0.076713,0,0
0.78286,7.1498e+05,1,0.076836,0.076836,0,0
0.78538,7.137e+05,1,0.076958,0.076958,0,0
0.7879,7.1242e+05,1,0.077081,0.077081,0,0
0.79042,7.1114e+05,1,0.077204,0.077204,0,0
0.79295,7.0986e+05,1,0.077327,0.077327,0,0
0.79547,7.0855e+05,1,0.07745,0.07745,0,0
0.798,7.0723e+05,1,0.077573,0.077573,0,0
0.80052,7.0592e+05,1,0.077696,0.077696,0,0
0.80305,7.046e+05,1,0.077819,0.077819,0,0
0.80559,7.0328e+05,1,0.077942,0.077942,0,0
0.80814,7.0195e+05,1,0.078065,0.078065,0,0
0.81068,7.0063e+05,1,0.078188,0.078188,0,0
0.81323,6.993e+05,1,0.078311,0.078311,0,0
0.81577,6.9794e+05,1,0.078434,0.078434,0,0
0.81832,6.9658e+05,1,0.078557,0.078557,0,0
0.82087,6.9521e+05,1,0.07868,0.07868,0,0
0.82342,6.9385e+05,1,0.078802,0.078802,0,0
0.82599,6.9248e+05,1,0.078925,0.078925,0,0
0.82857,6.911e+05,1,0.079048,0.079048,0,0
0.83114,6.8973e+05,1,0.079171,0.079171,0,0
0.83372,6.8835e+05,1,0.079294,0.079294,0,0
0.8363,6.8695e+05,1,0.079417,0.079417,0,0
0.83888,6.8555e+05,1,0.07954,0.07954,0,0
0.84146,6.8415e+05,1,0.079663,0.079663,0,0
0.84405,6.8274e+05,1,0.079786,0.079786,0,0
0.84665,6.8132e+05,1,0.079909,0.079909,0,0
0.84927,6.7989e+05,1,0.080032,0.080032,0,0
0.85189,6.7845e+05,1,0.080155,0.080155,0,0
0.8545,6.7702e+05,1,0.080278,0.080278,0,0
0.85721,6.7557e+05,1,0.080401,0.080401,0,0
0.85994,6.7411e+05,1,0.080524,0.080524,0,0
0.86267,6.7266e+05,1,0.080647,0.080647,0,0
0.8654,6.712e+05,1,0.080769,0.080769,0,0
0.86799,6.6962e+05,1,0.080892,0.080892,0,0
0.87053,6.68e+05,1,0.081015,0.081015,0,0
0.87307,6.6638e+05,1,0.081138,0.081138,0,0
0.87561,6.6476e+05,1,0.081261,0.081261,0,0
0.87817,6.6329e+05,1,0.081384,0.081384,0,0
