,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
400,82.312,25397000.0,1.3878,7389.3,-2142.0,0,672330.0,-0.63303,614.16,1,0.4,0.4,0.25,0,0.4124392600925262,0.6156004083821464,550.2038088984498
401,82.388,25420000.0,1.3879,7393.6,-2139.8,0,672670.0,-0.63187,614.17,1,0.401,0.401,0.25,0,0.41179073795892907,0.6153353137939046,550.2038088984498
402,82.46,25443000.0,1.388,7397.7,-2137.7,0,673000.0,-0.63077,614.18,1,0.402,0.402,0.25,0,0.41116577429528456,0.6150794153687864,550.2038088984498
403,82.502,25456000.0,1.388,7400.1,-2136.0,0,673190.0,-0.63012,614.18,1,0.403,0.403,0.25,0,0.4107005529151795,0.6149010838925788,550.2038088984498
404,82.549,25471000.0,1.3881,7402.9,-2134.2,0,673400.0,-0.6294,614.19,1,0.404,0.404,0.25,0,0.4103683788244159,0.6147576041491812,550.2038088984498
405,82.605,25488000.0,1.3882,7406.2,-2132.1,0,673650.0,-0.62856,614.2,1,0.405,0.405,0.25,0,0.40993788436036926,0.614576501082406,550.2038088984498
406,82.664,25506000.0,1.3883,7409.7,-2129.7,0,673910.0,-0.62766,614.21,1,0.406,0.406,0.25,0,0.40948249018679184,0.6143859247063883,550.2038088984498
407,82.714,25522000.0,1.3883,7412.7,-2127.7,0,674140.0,-0.6269,614.21,1,0.407,0.407,0.25,0,0.4089168928991641,0.6141695635515894,550.2038088984498
408,82.743,25531000.0,1.3884,7414.6,-2126.5,0,674270.0,-0.62644,614.22,1,0.408,0.408,0.25,0,0.4087806438698923,0.6141011642884449,550.2038088984498
409,82.773,25541000.0,1.3884,7416.4,-2125.3,0,674410.0,-0.62598,614.22,1,0.409,0.409,0.25,0,0.4084358589802366,0.6139693647625787,550.2038088984498
410,82.822,25556000.0,1.3885,7419.2,-2123.9,0,674630.0,-0.62523,614.23,1,0.41,0.41,0.25,0,0.40807770569134016,0.6138161810086988,550.2038088984498
411,82.871,25571000.0,1.3886,7422.0,-2122.5,0,674850.0,-0.62448,614.24,1,0.411,0.411,0.25,0,0.40771935801539383,0.6136629542521179,550.2038088984498
412,82.902,25581000.0,1.3887,7423.8,-2121.6,0,674990.0,-0.62401,614.24,1,0.412,0.412,0.25,0,0.40737367241453626,0.6135309741670354,550.2038088984498
413,82.909,25583000.0,1.3887,7424.3,-2121.4,0,675030.0,-0.62389,614.24,1,0.413,0.413,0.25,0,0.40727484346881904,0.6134932536922302,550.2038088984498
414,82.937,25592000.0,1.3887,7425.8,-2120.5,0,675150.0,-0.62346,614.25,1,0.414,0.414,0.25,0,0.40716316014658327,0.6134342419068026,550.2038088984498
415,82.969,25602000.0,1.3888,7427.6,-2119.5,0,675290.0,-0.62299,614.25,1,0.415,0.415,0.25,0,0.4068169986899165,0.6133021666070462,550.2038088984498
416,83.0,25612000.0,1.3888,7429.4,-2118.5,0,675440.0,-0.62251,614.26,1,0.416,0.416,0.25,0,0.4066310801550157,0.6132148369492697,550.2038088984498
417,83.021,25618000.0,1.3888,7430.5,-2117.8,0,675530.0,-0.62219,614.26,1,0.417,0.417,0.25,0,0.4064082953418142,0.6131298804832805,550.2038088984498
418,83.02,25618000.0,1.3888,7430.6,-2117.7,0,675520.0,-0.6222,614.26,1,0.418,0.418,0.25,0,0.4064330560875281,0.6131393214159375,550.2038088984498
419,83.019,25618000.0,1.3888,7430.6,-2117.6,0,675520.0,-0.62222,614.26,1,0.419,0.419,0.25,0,0.4064330560875281,0.6131393214159375,550.2038088984498
420,83.018,25617000.0,1.3888,7430.6,-2117.5,0,675520.0,-0.62224,614.26,1,0.42,0.42,0.25,0,0.4064330560875281,0.6131393214159375,550.2038088984498
421,83.022,25618000.0,1.3889,7430.9,-2117.4,0,675530.0,-0.62218,614.26,1,0.421,0.421,0.25,0,0.4064082953418142,0.6131298804832805,550.2038088984498
422,83.029,25621000.0,1.3889,7431.4,-2117.1,0,675570.0,-0.62207,614.26,1,0.422,0.422,0.25,0,0.40630923515508166,0.6130921134377083,550.2038088984498
423,83.037,25623000.0,1.3889,7431.8,-2116.9,0,675600.0,-0.62195,614.26,1,0.423,0.423,0.25,0,0.4062349219445105,0.6130637846717779,550.2038088984498
424,83.044,25625000.0,1.3889,7432.3,-2116.7,0,675630.0,-0.62184,614.26,1,0.424,0.424,0.25,0,0.4061605932380078,0.6130354529203512,550.2038088984498
425,83.052,25628000.0,1.3889,7432.8,-2116.4,0,675670.0,-0.62173,614.26,1,0.425,0.425,0.25,0,0.4060614641804857,0.6129976726059126,550.2038088984498
426,83.055,25629000.0,1.3889,7433.0,-2116.3,0,675680.0,-0.62167,614.26,1,0.426,0.426,0.25,0,0.40603667760822737,0.6129882266974317,550.2038088984498
427,83.051,25628000.0,1.3889,7432.9,-2116.4,0,675670.0,-0.62173,614.26,1,0.427,0.427,0.25,0,0.4060614641804857,0.6129976726059126,550.2038088984498
428,83.047,25627000.0,1.3889,7432.7,-2116.4,0,675650.0,-0.62179,614.26,1,0.428,0.428,0.25,0,0.4061110321550856,0.6130165634269537,550.2038088984498
429,83.044,25625000.0,1.3889,7432.5,-2116.4,0,675630.0,-0.62185,614.26,1,0.429,0.429,0.25,0,0.4061605932380078,0.6130354529203512,550.2038088984498
