,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G
89,202.89,75001000.0,1.7,17306,4.6825e-10,0,1499900.0,-9.1646e-15,569.84,1,0.089,0.089,0.25,0,0.7577617356292932
90,202.89,75001000.0,1.7,17306,4.0326e-10,0,1499900.0,-1.5378e-14,569.84,1,0.09,0.09,0.25,0,0.7577617356292932
91,202.89,75001000.0,1.7,17306,2.3838e-10,0,1499900.0,-1.724e-14,569.84,1,0.091,0.091,0.25,0,0.7577617356292932
92,202.89,75001000.0,1.7,17306,4.4006e-11,0,1499900.0,-1.7817e-14,569.84,1,0.092,0.092,0.25,0,0.7577617356292932
93,202.89,75001000.0,1.7,17306,-1.5037e-10,0,1499900.0,-1.8394e-14,569.84,1,0.093,0.093,0.25,0,0.7577617356292932
94,202.89,75001000.0,1.7,17306,-3.4474e-10,0,1499900.0,-1.8971e-14,569.84,1,0.094,0.094,0.25,0,0.7577617356292932
95,202.89,75001000.0,1.7,17306,-5.3912e-10,0,1499900.0,-1.9547e-14,569.84,1,0.095,0.095,0.25,0,0.7577617356292932
96,202.89,75001000.0,1.7,17306,-7.3349e-10,0,1499900.0,-2.0124e-14,569.84,1,0.096,0.096,0.25,0,0.7577617356292932
97,202.89,75001000.0,1.7,17306,-9.2787e-10,0,1499900.0,-2.0701e-14,569.84,1,0.097,0.097,0.25,0,0.7577617356292932
98,202.89,75001000.0,1.7,17306,-1.1222e-09,0,1499900.0,-2.1278e-14,569.84,1,0.098,0.098,0.25,0,0.7577617356292932
99,202.89,75001000.0,1.7,17306,-1.3166e-09,0,1499900.0,-2.1855e-14,569.84,1,0.099,0.099,0.25,0,0.7577617356292932
100,202.89,75001000.0,1.7,17306,-1.511e-09,0,1499900.0,-2.2432e-14,569.84,1,0.1,0.1,0.25,0,0.7577617356292932
101,202.89,75001000.0,1.7,17306,-1.7054e-09,0,1499900.0,-2.3009e-14,569.84,1,0.101,0.101,0.25,0,0.7577617356292932
102,202.89,75001000.0,1.7,17306,-1.8997e-09,0,1499900.0,-2.3586e-14,569.84,1,0.102,0.102,0.25,0,0.7577617356292932
103,202.89,75001000.0,1.7,17306,-2.0941e-09,0,1499900.0,-2.4162e-14,569.84,1,0.103,0.103,0.25,0,0.7577617356292932
104,202.89,75001000.0,1.7,17306,-2.2885e-09,0,1499900.0,-2.4739e-14,569.84,1,0.104,0.104,0.25,0,0.7577617356292932
105,202.89,75001000.0,1.7,17306,-2.4829e-09,0,1499900.0,-2.5316e-14,569.84,1,0.105,0.105,0.25,0,0.7577617356292932
106,202.89,75001000.0,1.7,17306,-2.6772e-09,0,1499900.0,-2.5893e-14,569.84,1,0.106,0.106,0.25,0,0.7577617356292932
107,202.89,75001000.0,1.7,17306,-2.8716e-09,0,1499900.0,-2.647e-14,569.84,1,0.107,0.107,0.25,0,0.7577617356292932
108,202.89,75001000.0,1.7,17306,-3.066e-09,0,1499900.0,-2.7047e-14,569.84,1,0.108,0.108,0.25,0,0.7577617356292932
109,202.89,75001000.0,1.7,17306,-2.8264e-09,0,1499900.0,-1.5757e-14,569.84,1,0.109,0.109,0.25,0,0.7577617356292932
110,202.89,75001000.0,1.7,17306,-2.39e-09,0,1499900.0,9.1589e-16,569.84,1,0.11,0.11,0.25,0,0.7577617356292932
111,202.89,75001000.0,1.7,17306,-1.6061e-09,0,1499900.0,1.0007e-14,569.84,1,0.111,0.111,0.25,0,0.7577617356292932
112,202.89,75001000.0,1.7,17306,-3.1204e-10,0,1499900.0,7.9686e-15,569.84,1,0.112,0.112,0.25,0,0.7577617356292932
113,202.89,75001000.0,1.7,17306,9.8203e-10,0,1499900.0,5.9302e-15,569.84,1,0.113,0.113,0.25,0,0.7577617356292932
114,202.89,75001000.0,1.7,17306,2.2761e-09,0,1499900.0,3.8917e-15,569.84,1,0.114,0.114,0.25,0,0.7577617356292932
115,202.89,75001000.0,1.7,17306,3.5702e-09,0,1499900.0,1.8532e-15,569.84,1,0.115,0.115,0.25,0,0.7577617356292932
116,202.89,75001000.0,1.7,17306,4.8643e-09,0,1499900.0,-1.8531e-16,569.84,1,0.116,0.116,0.25,0,0.7577617356292932
117,202.89,75001000.0,1.7,17306,6.1583e-09,0,1499900.0,-2.2238e-15,569.84,1,0.117,0.117,0.25,0,0.7577617356292932
118,202.89,75001000.0,1.7,17306,7.4524e-09,0,1499900.0,-4.2623e-15,569.84,1,0.118,0.118,0.25,0,0.7577617356292932
119,202.89,75001000.0,1.7,17306,8.7465e-09,0,1499900.0,-6.3008e-15,569.84,1,0.119,0.119,0.25,0,0.7577617356292932
120,202.89,75001000.0,1.7,17306,1.0041e-08,0,1499900.0,-8.3393e-15,569.84,1,0.12,0.12,0.25,0,0.7577617356292932
121,202.89,75001000.0,1.7,17306,1.1335e-08,0,1499900.0,-1.0378e-14,569.84,1,0.121,0.121,0.25,0,0.7577617356292932
122,202.89,75001000.0,1.7,17306,1.2629e-08,0,1499900.0,-1.2416e-14,569.84,1,0.122,0.122,0.25,0,0.7577617356292932
123,202.89,75001000.0,1.7,17306,1.3923e-08,0,1499900.0,-1.4455e-14,569.84,1,0.123,0.123,0.25,0,0.7577617356292932
124,202.89,75001000.0,1.7,17306,1.5217e-08,0,1499900.0,-1.6493e-14,569.84,1,0.124,0.124,0.25,0,0.7577617356292932
125,202.89,75001000.0,1.7,17306,1.6511e-08,0,1499900.0,-1.8532e-14,569.84,1,0.125,0.125,0.25,0,0.7577617356292932
126,202.89,75001000.0,1.7,17306,1.7805e-08,0,1499900.0,-2.057e-14,569.84,1,0.126,0.126,0.25,0,0.7577617356292932
127,202.89,75001000.0,1.7,17306,1.9099e-08,0,1499900.0,-2.2609e-14,569.84,1,0.127,0.127,0.25,0,0.7577617356292932
128,202.89,75001000.0,1.7,17306,2.0393e-08,0,1499900.0,-2.4647e-14,569.84,1,0.128,0.128,0.25,0,0.7577617356292932
129,202.89,75001000.0,1.7,17306,2.0143e-08,0,1499900.0,-2.9562e-14,569.84,1,0.129,0.129,0.25,0,0.7577617356292932
130,202.89,75001000.0,1.7,17306,1.745e-08,0,1499900.0,-3.9028e-14,569.84,1,0.13,0.13,0.25,0,0.7577617356292932
131,202.89,75001000.0,1.7,17306,1.3897e-08,0,1499900.0,-3.4547e-14,569.84,1,0.131,0.131,0.25,0,0.7577617356292932
132,202.89,75001000.0,1.7,17306,6.2516e-09,0,1499900.0,3.6304e-14,569.84,1,0.132,0.132,0.25,0,0.7577617356292932
