"<greek>m</greek>","<greek>m</greek><sub>t</sub>","C<sub>f</sub>_x","C<sub>f</sub>_y","C<sub>p</sub>","Conservative_1","Conservative_2","Conservative_3","Conservative_4","Conservative_5","Conservative_6","Mach","Pressure","Temperature","h","p","y<sup>+</sup>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.716e-05,1.8507e-09,0,0,-3.4542e+16,71.464,1145,0.07079,2.4119e+07,1.0012e-10,3.8816,0.18321,8.9457e+05,541.86,0,0.98956,0,1,0.011064,0.011064,0,0
1.716e-05,1.7875e-09,0,0,-3.4606e+16,71.462,1145.9,0.070856,2.4118e+07,1.0012e-10,4.0104,0.18335,8.9455e+05,541.86,0,0.98955,0,1,0.011187,0.011187,0,0
1.716e-05,1.7336e-09,0,0,-3.4672e+16,71.459,1146.8,0.07883,2.4117e+07,1.0013e-10,4.1532,0.18351,8.9453e+05,541.86,0,0.98953,0,1,0.01131,0.01131,0,0
1.716e-05,1.6797e-09,0,0,-3.4739e+16,71.457,1147.8,0.086805,2.4116e+07,1.0013e-10,4.2959,0.18366,8.9451e+05,541.86,0,0.98951,0,1,0.011433,0.011433,0,0
1.716e-05,1.6257e-09,0,0,-3.4805e+16,71.455,1148.7,0.09478,2.4115e+07,1.0014e-10,4.4387,0.18381,8.9449e+05,541.86,0,0.98949,0,1,0.011556,0.011556,0,0
1.716e-05,1.5718e-09,0,0,-3.4871e+16,71.452,1149.6,0.10275,2.4115e+07,1.0014e-10,4.5814,0.18396,8.9448e+05,541.85,0,0.98947,0,1,0.011679,0.011679,0,0
1.716e-05,1.5179e-09,0,0,-3.4938e+16,71.45,1150.5,0.11073,2.4114e+07,1.0015e-10,4.7242,0.18411,8.9446e+05,541.85,0,0.98945,0,1,0.011802,0.011802,0,0
1.716e-05,1.4712e-09,0,0,-3.5007e+16,71.448,1151.5,0.11295,2.4113e+07,1.0016e-10,4.8798,0.18426,8.9444e+05,541.85,0,0.98942,0,1,0.011925,0.011925,0,0
1.716e-05,1.4284e-09,0,0,-3.5077e+16,71.445,1152.5,0.11206,2.4112e+07,1.0016e-10,5.0424,0.18442,8.9442e+05,541.85,0,0.9894,0,1,0.012048,0.012048,0,0
1.716e-05,1.3857e-09,0,0,-3.5148e+16,71.443,1153.4,0.11117,2.4111e+07,1.0017e-10,5.205,0.18458,8.944e+05,541.85,0,0.98938,0,1,0.012171,0.012171,0,0
