"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Pressure_Coefficient","Mach"
1835, 6.923866281926570e-02, 4.200190093690348e-01, 2.094968779774399e+02, 1.468487907987108e+04, -2.947507398874380e-02, 1.173122525236795e+08, 8.202676922506238e+05, 6.524326851599367e+02, -1.031283940914148e-05, 1.700035616710335e+00
1836, 6.924657445593692e-02, 4.000413323315264e-01, 2.094964069179034e+02, 1.468486572101161e+04, -3.170937350632000e-02, 1.173119882776031e+08, 8.202668914152021e+05, 6.524326082185418e+02, -1.186884488577491e-05, 1.700041046580147e+00
1837, 2.005395960193833e-01, 2.688144087661646e-01, 2.091289881855470e+02, 1.467450560637457e+04, -2.472375425996026e+00, 1.171058887190408e+08, 8.196432984427898e+05, 6.523725838805382e+02, -1.223496170402275e-03, 1.704278687390157e+00
1838, 6.928491806072569e-02, 3.800916996225217e-01, 2.094958978046047e+02, 1.468485141485324e+04, -3.365919681537832e-02, 1.173117026941041e+08, 8.202660258894716e+05, 6.524325250615203e+02, -1.355054219845906e-05, 1.700046930343459e+00
1839, 1.801808115314407e-01, 2.690424182966449e-01, 2.093011313755990e+02, 1.467937238210377e+04, -1.114158340680595e+00, 1.172024504841602e+08, 8.199352035480286e+05, 6.524007091840581e+02, -6.563310200367447e-04, 1.702295877234005e+00
1840, 1.599435968139743e-01, 2.691201126195245e-01, 2.093931316206224e+02, 1.468196328502393e+04, -5.147971661737331e-01, 1.172540569935545e+08, 8.200913982161903e+05, 6.524157385814150e+02, -3.528482413379988e-04, 1.701234197963946e+00
1841, 6.939960370758122e-02, 3.601687473841206e-01, 2.094953445882819e+02, 1.468483616001318e+04, -3.516825574414092e-02, 1.173113923917161e+08, 8.202650853903964e+05, 6.524324347008055e+02, -1.537791105855837e-05, 1.700053357425416e+00
1842, 1.397491023785188e-01, 2.691291622866013e-01, 2.094424459208108e+02, 1.468335077645771e+04, -2.429893381530761e-01, 1.172817194114053e+08, 8.201751762948427e+05, 6.524237941233297e+02, -1.900692911809430e-04, 1.700664732646409e+00
1843, 6.962960067841589e-02, 3.402310063316710e-01, 2.094947234248003e+02, 1.468481948774374e+04, -3.562930552588296e-02, 1.173110440093609e+08, 8.202640293833367e+05, 6.524323332417777e+02, -1.742970937275373e-05, 1.700060626683928e+00
1844, 1.195208507714245e-01, 2.692007541688717e-01, 2.094690096337848e+02, 1.468409837335281e+04, -1.171631243070080e-01, 1.172966201612614e+08, 8.202203198819333e+05, 6.524281331594443e+02, -1.023563019226641e-04, 1.700357941833540e+00
1845, 6.982572328726858e-02, 3.203007082669929e-01, 2.094941561259955e+02, 1.468480462094872e+04, -3.278443037713961e-02, 1.173107258624840e+08, 8.202630649537607e+05, 6.524322405807706e+02, -1.930357466542531e-05, 1.700067307207360e+00
1846, 9.897173135527611e-02, 2.695371173630735e-01, 2.094834183943164e+02, 1.468450404635386e+04, -5.664075228283972e-02, 1.173047026932700e+08, 8.202448113216283e+05, 6.524304866973456e+02, -5.476997736721378e-05, 1.700191530820494e+00
1847, 6.991419524245009e-02, 3.006071356028357e-01, 2.094936130703222e+02, 1.468478981251631e+04, -2.945403812527739e-02, 1.173104212709737e+08, 8.202621417431226e+05, 6.524321518795194e+02, -2.109735247535490e-05, 1.700073635429184e+00
1848, 7.831357140344175e-02, 2.690723900654048e-01, 2.094909705304210e+02, 1.468471648991216e+04, -2.741608296299990e-02, 1.173089390229062e+08, 8.202576494106431e+05, 6.524317202532559e+02, -2.982585492520244e-05, 1.700104282331184e+00
1849, 6.902725605257458e-02, 2.836050814630699e-01, 2.094935038491043e+02, 1.468478743591147e+04, -2.347392553692319e-02, 1.173103600526617e+08, 8.202619560642019e+05, 6.524321340395959e+02, -2.145812250333113e-05, 1.700074977841737e+00
1850, 5.016323964463378e-02, 9.483561542468479e-01, 2.094999878050315e+02, 1.468497044620176e+04, -8.492632060785639e-05, 1.173139972387513e+08, 8.202729792670589e+05, 6.524331931082725e+02, -4.028364509165938e-08, 1.700000137050311e+00
1851, 5.151227819025209e-02, 9.309234580507195e-01, 2.094999856162949e+02, 1.468497037564806e+04, -1.315341150129981e-04, 1.173139960103603e+08, 8.202729755459377e+05, 6.524331927507727e+02, -4.751370118092109e-08, 1.700000161298180e+00
1852, 6.903917458843130e-02, 9.437438442871204e-01, 2.094999798309098e+02, 1.468497018950789e+04, -1.636002158672536e-04, 1.173139927634363e+08, 8.202729657100756e+05, 6.524331918058103e+02, -6.662456324032149e-08, 1.700000225432046e+00
1853, 5.181150407705276e-02, 9.107840559401599e-01, 2.094999830921521e+02, 1.468497029791652e+04, -1.826527015586851e-04, 1.173139945939829e+08, 8.202729712545872e+05, 6.524331923384890e+02, -5.585170007474323e-08, 1.700000189682501e+00
1854, 9.047805656794430e-02, 9.467729784045718e-01, 2.094999669264568e+02, 1.468496977260013e+04, -2.740809853653073e-04, 1.173139855209669e+08, 8.202729437709250e+05, 6.524331896980468e+02, -1.092518464984009e-07, 1.700000368285542e+00
