"Mach","Pressure","Temperature","x","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.62843,1.4824e+05,310.1,2.7237,1,25.804,17.704,0,0
0.63968,1.473e+05,309.32,2.735,1,25.877,17.777,0,0
0.65092,1.4636e+05,308.55,2.7462,1,25.951,17.851,0,0
0.66217,1.4542e+05,307.77,2.7575,1,26.024,17.924,0,0
0.67342,1.4448e+05,306.99,2.7687,1,26.097,17.997,0,0
0.68499,1.4346e+05,306.18,2.78,1,26.17,18.07,0,0
0.69739,1.4224e+05,305.27,2.7912,1,26.243,18.143,0,0
0.70978,1.4102e+05,304.35,2.8025,1,26.316,18.216,0,0
0.72217,1.398e+05,303.44,2.8137,1,26.389,18.289,0,0
0.73456,1.3858e+05,302.53,2.825,1,26.462,18.362,0,0
0.74695,1.3737e+05,301.62,2.8362,1,26.535,18.435,0,0
0.75935,1.3615e+05,300.7,2.8474,1,26.608,18.508,0,0
0.77174,1.3493e+05,299.79,2.8587,1,26.681,18.581,0,0
0.78413,1.3371e+05,298.88,2.8699,1,26.755,18.655,0,0
0.79654,1.3248e+05,297.96,2.8812,1,26.828,18.728,0,0
0.80953,1.3107e+05,296.94,2.8924,1,26.901,18.801,0,0
0.82252,1.2966e+05,295.91,2.9037,1,26.974,18.874,0,0
0.83551,1.2825e+05,294.88,2.9149,1,27.047,18.947,0,0
0.8485,1.2683e+05,293.85,2.9262,1,27.12,19.02,0,0
0.86149,1.2542e+05,292.83,2.9374,1,27.193,19.093,0,0
0.87448,1.2401e+05,291.8,2.9487,1,27.266,19.166,0,0
0.88748,1.226e+05,290.77,2.9599,1,27.339,19.239,0,0
0.90047,1.2118e+05,289.74,2.9712,1,27.413,19.312,0,0
0.91346,1.1977e+05,288.72,2.9824,1,27.486,19.386,0,0
0.92648,1.1832e+05,287.63,2.9936,1,27.559,19.459,0,0
0.93951,1.1686e+05,286.51,3.0049,1,27.632,19.532,0,0
0.95255,1.154e+05,285.39,3.0161,1,27.705,19.605,0,0
0.96558,1.1393e+05,284.28,3.0274,1,27.778,19.678,0,0
