"Mach","Pressure","Temperature","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.26845,8.8396e+05,541.55,0.97784,1,0.037619,0.037619,0,0
0.26921,8.8385e+05,541.55,0.97771,1,0.037742,0.037742,0,0
0.26997,8.8373e+05,541.55,0.97758,1,0.037865,0.037865,0,0
0.27073,8.8361e+05,541.54,0.97745,1,0.037988,0.037988,0,0
0.27149,8.835e+05,541.54,0.97732,1,0.03811,0.03811,0,0
0.27224,8.8338e+05,541.54,0.97719,1,0.038233,0.038233,0,0
0.27301,8.8326e+05,541.53,0.97706,1,0.038356,0.038356,0,0
0.27379,8.8314e+05,541.53,0.97692,1,0.038479,0.038479,0,0
0.27458,8.8302e+05,541.53,0.97679,1,0.038602,0.038602,0,0
0.27536,8.8289e+05,541.52,0.97665,1,0.038725,0.038725,0,0
0.27614,8.8277e+05,541.52,0.97652,1,0.038848,0.038848,0,0
0.27693,8.8265e+05,541.52,0.97638,1,0.038971,0.038971,0,0
0.27773,8.8252e+05,541.51,0.97624,1,0.039094,0.039094,0,0
0.27854,8.8239e+05,541.51,0.9761,1,0.039217,0.039217,0,0
0.27935,8.8226e+05,541.5,0.97596,1,0.03934,0.03934,0,0
0.28016,8.8214e+05,541.5,0.97581,1,0.039463,0.039463,0,0
0.28097,8.8201e+05,541.5,0.97567,1,0.039586,0.039586,0,0
0.28178,8.8188e+05,541.49,0.97553,1,0.039709,0.039709,0,0
0.28262,8.8174e+05,541.49,0.97538,1,0.039832,0.039832,0,0
0.28346,8.8161e+05,541.49,0.97523,1,0.039955,0.039955,0,0
0.28429,8.8147e+05,541.48,0.97508,1,0.040077,0.040077,0,0
0.28513,8.8134e+05,541.48,0.97493,1,0.0402,0.0402,0,0
0.28597,8.812e+05,541.47,0.97478,1,0.040323,0.040323,0,0
0.28682,8.8106e+05,541.47,0.97463,1,0.040446,0.040446,0,0
0.28769,8.8092e+05,541.47,0.97447,1,0.040569,0.040569,0,0
0.28855,8.8078e+05,541.46,0.97431,1,0.040692,0.040692,0,0
0.28942,8.8063e+05,541.46,0.97415,1,0.040815,0.040815,0,0
0.29029,8.8049e+05,541.45,0.97399,1,0.040938,0.040938,0,0
0.29116,8.8035e+05,541.45,0.97384,1,0.041061,0.041061,0,0
0.29205,8.802e+05,541.45,0.97367,1,0.041184,0.041184,0,0
0.29294,8.8005e+05,541.44,0.97351,1,0.041307,0.041307,0,0
0.29384,8.799e+05,541.44,0.97334,1,0.04143,0.04143,0,0
0.29473,8.7975e+05,541.43,0.97318,1,0.041553,0.041553,0,0
0.29563,8.796e+05,541.43,0.97301,1,0.041676,0.041676,0,0
0.29652,8.7945e+05,541.42,0.97284,1,0.041799,0.041799,0,0
0.29745,8.7929e+05,541.42,0.97267,1,0.041922,0.041922,0,0
0.29837,8.7913e+05,541.42,0.97249,1,0.042044,0.042044,0,0
0.2993,8.7897e+05,541.41,0.97232,1,0.042167,0.042167,0,0
0.30022,8.7882e+05,541.41,0.97214,1,0.04229,0.04229,0,0
0.30115,8.7866e+05,541.4,0.97197,1,0.042413,0.042413,0,0
0.30208,8.785e+05,541.4,0.97179,1,0.042536,0.042536,0,0
0.30303,8.7833e+05,541.39,0.9716,1,0.042659,0.042659,0,0
0.30399,8.7816e+05,541.39,0.97142,1,0.042782,0.042782,0,0
0.30494,8.78e+05,541.38,0.97124,1,0.042905,0.042905,0,0
0.30589,8.7783e+05,541.38,0.97105,1,0.043028,0.043028,0,0
0.30685,8.7766e+05,541.37,0.97087,1,0.043151,0.043151,0,0
0.30782,8.7749e+05,541.37,0.97068,1,0.043274,0.043274,0,0
0.3088,8.7732e+05,541.36,0.97048,1,0.043397,0.043397,0,0
0.30979,8.7714e+05,541.36,0.97029,1,0.04352,0.04352,0,0
0.31077,8.7697e+05,541.35,0.9701,1,0.043643,0.043643,0,0
0.31176,8.7679e+05,541.35,0.9699,1,0.043766,0.043766,0,0
0.31274,8.7662e+05,541.34,0.96971,1,0.043889,0.043889,0,0
0.31375,8.7643e+05,541.34,0.96951,1,0.044011,0.044011,0,0
