,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z
873,114.6,178260000.0,1.4354,11116,-3176.7,0,1224000.0,-0.42092,561.22,1,0.873,0.873,0.4,0,0.3616347279655032,0.5384284950506655
874,114.6,178260000.0,1.4354,11116,-3176.7,0,1224000.0,-0.42092,561.22,1,0.874,0.874,0.4,0,0.3616347279655032,0.5384284950506655
875,114.6,178260000.0,1.4354,11116,-3176.7,0,1224000.0,-0.42092,561.22,1,0.875,0.875,0.4,0,0.3616347279655032,0.5384284950506655
876,114.6,178260000.0,1.4354,11116,-3176.7,0,1224000.0,-0.42092,561.22,1,0.876,0.876,0.4,0,0.3616347279655032,0.5384284950506655
877,114.6,178260000.0,1.4354,11116,-3176.7,0,1224000.0,-0.42092,561.22,1,0.877,0.877,0.4,0,0.3616347279655032,0.5384284950506655
878,114.6,178260000.0,1.4354,11116,-3176.6,0,1224000.0,-0.42092,561.22,1,0.878,0.878,0.4,0,0.3616347279655032,0.5384284950506655
879,114.59,178260000.0,1.4354,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.879,0.879,0.4,0,0.3616347279655032,0.5384284950506655
880,114.59,178260000.0,1.4354,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.88,0.88,0.4,0,0.3616347279655032,0.5384284950506655
881,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.881,0.881,0.4,0,0.3616347279655032,0.5384284950506655
882,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.882,0.882,0.4,0,0.3616347279655032,0.5384284950506655
883,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.883,0.883,0.4,0,0.3616347279655032,0.5384284950506655
884,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.884,0.884,0.4,0,0.3616347279655032,0.5384284950506655
885,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.885,0.885,0.4,0,0.3616347279655032,0.5384284950506655
886,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.886,0.886,0.4,0,0.3616347279655032,0.5384284950506655
887,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.887,0.887,0.4,0,0.3616347279655032,0.5384284950506655
888,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.888,0.888,0.4,0,0.3616347279655032,0.5384284950506655
889,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.889,0.889,0.4,0,0.3616347279655032,0.5384284950506655
890,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.89,0.89,0.4,0,0.3616347279655032,0.5384284950506655
891,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42093,561.22,1,0.891,0.891,0.4,0,0.3616347279655032,0.5384284950506655
892,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42094,561.22,1,0.892,0.892,0.4,0,0.3616347279655032,0.5384284950506655
893,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42094,561.22,1,0.893,0.893,0.4,0,0.3616347279655032,0.5384284950506655
894,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42094,561.22,1,0.894,0.894,0.4,0,0.3616347279655032,0.5384284950506655
895,114.59,178260000.0,1.4353,11116,-3176.6,0,1224000.0,-0.42094,561.22,1,0.895,0.895,0.4,0,0.3616347279655032,0.5384284950506655
