"Density","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
326.03,0.10941,4051.5,-0.037702,0,2.9248e+06,537.93,1,4.2086,-9.6718,0,0
326.02,0.10961,4058.8,-0.043451,0,2.9247e+06,537.93,1,4.2343,-9.6462,0,0
326.01,0.10982,4066.1,-0.0492,0,2.9246e+06,537.93,1,4.26,-9.6205,0,0
326,0.11002,4073.4,-0.054949,0,2.9245e+06,537.93,1,4.2856,-9.5949,0,0
326,0.11023,4080.9,-0.051788,0,2.9244e+06,537.93,1,4.3113,-9.5692,0,0
325.99,0.11044,4088.5,-0.04651,0,2.9243e+06,537.93,1,4.337,-9.5435,0,0
325.98,0.11065,4096.1,-0.041232,0,2.9242e+06,537.93,1,4.3626,-9.5179,0,0
325.98,0.11087,4103.7,-0.035954,0,2.9241e+06,537.93,1,4.3883,-9.4922,0,0
325.97,0.11109,4111.6,-0.021499,0,2.924e+06,537.93,1,4.4139,-9.4665,0,0
325.96,0.11131,4119.5,-0.0063249,0,2.9239e+06,537.93,1,4.4396,-9.4409,0,0
325.95,0.11153,4127.4,0.0088495,0,2.9238e+06,537.93,1,4.4653,-9.4152,0,0
325.94,0.11175,4135.3,0.02375,0,2.9237e+06,537.93,1,4.4909,-9.3896,0,0
325.94,0.11198,4143.6,0.033044,0,2.9236e+06,537.92,1,4.5166,-9.3639,0,0
325.93,0.11221,4151.8,0.042338,0,2.9235e+06,537.92,1,4.5423,-9.3382,0,0
325.92,0.11244,4160.1,0.051631,0,2.9234e+06,537.92,1,4.5679,-9.3126,0,0
325.91,0.11267,4168.4,0.05823,0,2.9233e+06,537.92,1,4.5936,-9.2869,0,0
325.9,0.11292,4177,0.051277,0,2.9232e+06,537.92,1,4.6192,-9.2612,0,0
325.89,0.11316,4185.7,0.044323,0,2.9231e+06,537.92,1,4.6449,-9.2356,0,0
325.89,0.1134,4194.3,0.037369,0,2.923e+06,537.92,1,4.6706,-9.2099,0,0
325.88,0.11365,4203.1,0.031517,0,2.9228e+06,537.92,1,4.6962,-9.1843,0,0
325.87,0.1139,4212.1,0.02843,0,2.9227e+06,537.92,1,4.7219,-9.1586,0,0
325.86,0.11415,4221.2,0.025343,0,2.9226e+06,537.92,1,4.7476,-9.1329,0,0
325.85,0.11441,4230.2,0.022255,0,2.9225e+06,537.91,1,4.7732,-9.1073,0,0
325.84,0.11466,4239.4,0.019656,0,2.9224e+06,537.91,1,4.7989,-9.0816,0,0
325.83,0.11493,4248.9,0.017775,0,2.9222e+06,537.91,1,4.8245,-9.0559,0,0
325.82,0.11519,4258.3,0.015895,0,2.9221e+06,537.91,1,4.8502,-9.0303,0,0
325.81,0.11546,4267.7,0.014014,0,2.922e+06,537.91,1,4.8759,-9.0046,0,0
325.8,0.11573,4277.3,0.01104,0,2.9219e+06,537.91,1,4.9015,-8.979,0,0
325.79,0.116,4287.1,0.0070718,0,2.9217e+06,537.91,1,4.9272,-8.9533,0,0
325.78,0.11628,4296.9,0.0031032,0,2.9216e+06,537.91,1,4.9529,-8.9276,0,0
325.77,0.11655,4306.7,-0.00086552,0,2.9215e+06,537.91,1,4.9785,-8.902,0,0
325.76,0.11683,4316.8,-0.0040852,0,2.9213e+06,537.9,1,5.0042,-8.8763,0,0
325.75,0.11712,4326.9,-0.0068888,0,2.9212e+06,537.9,1,5.0298,-8.8506,0,0
325.74,0.11741,4337.1,-0.0096923,0,2.9211e+06,537.9,1,5.0555,-8.825,0,0
325.73,0.11769,4347.3,-0.012496,0,2.9209e+06,537.9,1,5.0812,-8.7993,0,0
325.72,0.11799,4357.9,-0.011109,0,2.9208e+06,537.9,1,5.1068,-8.7737,0,0
325.7,0.11829,4368.5,-0.0084135,0,2.9206e+06,537.9,1,5.1325,-8.748,0,0
325.69,0.11859,4379.2,-0.0057182,0,2.9205e+06,537.9,1,5.1582,-8.7223,0,0
325.68,0.11889,4389.8,-0.003023,0,2.9204e+06,537.9,1,5.1838,-8.6967,0,0
325.67,0.1192,4400.9,-0.014618,0,2.9202e+06,537.89,1,5.2095,-8.671,0,0
325.66,0.11951,4412,-0.028138,0,2.92e+06,537.89,1,5.2351,-8.6453,0,0
325.65,0.11983,4423.1,-0.041658,0,2.9199e+06,537.89,1,5.2608,-8.6197,0,0
325.64,0.12014,4434.3,-0.055165,0,2.9197e+06,537.89,1,5.2865,-8.594,0,0
325.62,0.12047,4445.9,-0.049705,0,2.9196e+06,537.89,1,5.3121,-8.5684,0,0
325.61,0.12079,4457.4,-0.044245,0,2.9194e+06,537.89,1,5.3378,-8.5427,0,0
325.6,0.12112,4469,-0.038785,0,2.9193e+06,537.89,1,5.3635,-8.517,0,0
325.58,0.12145,4480.6,-0.035325,0,2.9191e+06,537.89,1,5.3891,-8.4914,0,0
325.57,0.12178,4492.6,-0.046543,0,2.9189e+06,537.88,1,5.4148,-8.4657,0,0
325.56,0.12212,4504.6,-0.057761,0,2.9188e+06,537.88,1,5.4404,-8.44,0,0
325.55,0.12246,4516.6,-0.068979,0,2.9186e+06,537.88,1,5.4661,-8.4144,0,0
325.53,0.1228,4528.8,-0.075013,0,2.9184e+06,537.88,1,5.4918,-8.3887,0,0
325.52,0.12316,4541.3,-0.06455,0,2.9182e+06,537.88,1,5.5174,-8.3631,0,0
325.5,0.12351,4553.8,-0.054087,0,2.9181e+06,537.88,1,5.5431,-8.3374,0,0
325.49,0.12387,4566.4,-0.043624,0,2.9179e+06,537.87,1,5.5688,-8.3117,0,0
325.48,0.12423,4579.1,-0.032016,0,2.9177e+06,537.87,1,5.5944,-8.2861,0,0
325.46,0.1246,4592.2,-0.018358,0,2.9175e+06,537.87,1,5.6201,-8.2604,0,0
325.45,0.12497,4605.3,-0.0047008,0,2.9173e+06,537.87,1,5.6457,-8.2347,0,0
325.43,0.12534,4618.3,0.0089567,0,2.9172e+06,537.87,1,5.6714,-8.2091,0,0
325.42,0.12572,4631.7,0.012643,0,2.917e+06,537.87,1,5.6971,-8.1834,0,0
325.4,0.1261,4645.4,0.0054262,0,2.9168e+06,537.86,1,5.7227,-8.1578,0,0
325.39,0.12649,4659,-0.001791,0,2.9166e+06,537.86,1,5.7484,-8.1321,0,0
325.37,0.12688,4672.7,-0.0090083,0,2.9164e+06,537.86,1,5.7741,-8.1064,0,0
325.36,0.12727,4686.6,-0.020125,0,2.9162e+06,537.86,1,5.7997,-8.0808,0,0
325.34,0.12767,4700.8,-0.033874,0,2.916e+06,537.86,1,5.8254,-8.0551,0,0
325.32,0.12808,4714.9,-0.047624,0,2.9157e+06,537.86,1,5.851,-8.0294,0,0
325.31,0.12848,4729.1,-0.061374,0,2.9155e+06,537.85,1,5.8767,-8.0038,0,0
325.29,0.12889,4743.7,-0.063673,0,2.9153e+06,537.85,1,5.9024,-7.9781,0,0
325.27,0.12931,4758.4,-0.061433,0,2.9151e+06,537.85,1,5.928,-7.9525,0,0
325.26,0.12973,4773.2,-0.059194,0,2.9149e+06,537.85,1,5.9537,-7.9268,0,0
325.24,0.13015,4788,-0.056954,0,2.9147e+06,537.85,1,5.9794,-7.9011,0,0
325.22,0.13059,4803.2,-0.045477,0,2.9144e+06,537.84,1,6.005,-7.8755,0,0
325.2,0.13103,4818.6,-0.03218,0,2.9142e+06,537.84,1,6.0307,-7.8498,0,0
325.19,0.13146,4834,-0.018882,0,2.914e+06,537.84,1,6.0563,-7.8241,0,0
325.17,0.1319,4849.4,-0.0055852,0,2.9137e+06,537.84,1,6.082,-7.7985,0,0
325.15,0.13236,4865.4,-0.026779,0,2.9135e+06,537.84,1,6.1077,-7.7728,0,0
325.13,0.13282,4881.4,-0.049611,0,2.9133e+06,537.83,1,6.1333,-7.7472,0,0
325.11,0.13327,4897.5,-0.072443,0,2.913e+06,537.83,1,6.159,-7.7215,0,0
325.09,0.13373,4913.6,-0.093997,0,2.9128e+06,537.83,1,6.1847,-7.6958,0,0
325.07,0.13421,4930.2,-0.099538,0,2.9125e+06,537.83,1,6.2103,-7.6702,0,0
325.05,0.13468,4946.8,-0.10508,0,2.9122e+06,537.83,1,6.236,-7.6445,0,0
325.03,0.13516,4963.5,-0.11062,0,2.912e+06,537.82,1,6.2616,-7.6188,0,0
325.01,0.13564,4980.2,-0.11342,0,2.9117e+06,537.82,1,6.2873,-7.5932,0,0
324.99,0.13613,4997.5,-0.10475,0,2.9115e+06,537.82,1,6.313,-7.5675,0,0
324.97,0.13663,5014.7,-0.096076,0,2.9112e+06,537.82,1,6.3386,-7.5419,0,0
324.95,0.13712,5032,-0.087405,0,2.9109e+06,537.81,1,6.3643,-7.5162,0,0
324.92,0.13762,5049.5,-0.086216,0,2.9106e+06,537.81,1,6.39,-7.4905,0,0
324.9,0.13814,5067.4,-0.1015,0,2.9104e+06,537.81,1,6.4156,-7.4649,0,0
324.88,0.13865,5085.3,-0.11677,0,2.9101e+06,537.81,1,6.4413,-7.4392,0,0
324.86,0.13917,5103.2,-0.13205,0,2.9098e+06,537.8,1,6.4669,-7.4135,0,0
324.83,0.13969,5121.5,-0.14019,0,2.9095e+06,537.8,1,6.4926,-7.3879,0,0
324.81,0.14023,5140.2,-0.13892,0,2.9092e+06,537.8,1,6.5183,-7.3622,0,0
324.79,0.14077,5159,-0.13766,0,2.9089e+06,537.8,1,6.5439,-7.3366,0,0
324.76,0.14131,5177.7,-0.13639,0,2.9086e+06,537.79,1,6.5696,-7.3109,0,0
324.74,0.14186,5196.8,-0.13677,0,2.9083e+06,537.79,1,6.5953,-7.2852,0,0
324.71,0.14242,5216.3,-0.13848,0,2.9079e+06,537.79,1,6.6209,-7.2596,0,0
324.69,0.14298,5235.7,-0.14019,0,2.9076e+06,537.79,1,6.6466,-7.2339,0,0
324.66,0.14354,5255.2,-0.14191,0,2.9073e+06,537.78,1,6.6722,-7.2082,0,0
324.64,0.14412,5275.2,-0.1147,0,2.907e+06,537.78,1,6.6979,-7.1826,0,0
324.61,0.14471,5295.4,-0.073252,0,2.9067e+06,537.78,1,6.7236,-7.1569,0,0
324.58,0.14529,5315.6,-0.031808,0,2.9063e+06,537.77,1,6.7492,-7.1313,0,0
